route_name,min,max,average,median
28A,5.487342951939604,119.41685355110259,47.4844197893496,37.65923026572315
37,5.487342951939604,183.76414601790145,52.50006908892282,35.824967008182604
37A,11.394868725570413,183.76414601790145,61.14055285286789,37.1719042719444
62,9.496089580097143,1173.9062214059886,140.9875869787455,61.894708795381206
75,6.661547913445453,320.8133119205668,94.07220548433514,61.55510864212086
1,19.103501935883806,540.7684431472753,78.76433040545578,48.434022364810744
1A,19.947405683425615,540.7684431472753,92.07869263069105,47.05572025567466
62A,25.844476825393713,1173.9062214059886,189.72881648346137,76.37103162037349
69,17.601291194114257,inf,inf,64.18744269202715
124,3.323943286465574,inf,inf,57.04502612136488
125,0.8113302263392845,287.83666881501296,39.86141801005447,21.64293982463895
125B,0.8113302263392845,inf,inf,21.64293982463895
25,6.242747326375712,235.07155257931208,59.14270955643664,43.16550827158922
225,3.323943286465574,inf,inf,22.527734527467956
3,1.0524246240806276,1173.9062214059886,134.4242410053951,55.04690248074807
82,5.931312718839222,434.2809117584654,96.45007843133217,47.43571980126913
32,6.242747326375712,1173.9062214059886,184.60435496536334,80.33964854069526
70,10.360329655698466,134.27575145355695,60.60784264033878,49.57891856821531
104A,0.0,115.19816871846355,17.88239461038537,6.3171413599206305
204,0.0,inf,inf,8.948006646951423
231,5.931312718839222,inf,inf,44.62619982095186
170,1.1580718840702946,inf,inf,8.937745868831371
12,3.4505990448798918,99.79138122635877,31.431606379975065,20.305810108537045
308,0.035333587643194025,115.19816871846355,5.702074312213988,0.9764617549641672
310,0.8399864558010282,115.19816871846355,7.664021200182235,4.128547740350133
315,7.3948633164574815,115.19816871846355,28.9976292151817,11.204395268283822
316,4.489267433321886,115.19816871846355,27.367656066144765,11.1117384246098
318,0.013246904326201205,inf,inf,3.639855432888164
319,0.9933642836903036,115.19816871846355,8.90305255306214,4.742813938383917
321,6.594533125696763,132.02071539743585,47.15161503084981,35.65216559225195
96,2.575995539600338,275.03510807882867,43.48448483634162,17.03114083821109
296,1.3263468650065517,inf,inf,18.109875633432473
196,1.3263468650065517,275.03510807882867,52.96340372975376,13.941707392703904
196A,2.575995539600338,275.03510807882867,83.3225995990621,68.54136713511392
19,14.546685284224502,152.5671191447831,75.82790229364862,59.81672595221684
41,3.5080785011262896,159.5563514745769,64.53491692948312,50.45102709717008
114,10.316186604528644,inf,inf,47.33041478070812
153,13.262055374346845,234.4223493747609,73.7455994577726,55.61228553156138
214,10.316186604528644,inf,inf,48.72348856517041
58,15.697235774204586,369.4203264822944,100.15021018292586,73.61356767171466
213,10.316186604528644,159.5563514745769,48.74391358425899,37.101072848714196
689,0.05113763165859566,inf,inf,5.362060375948072
53,19.103501935883806,inf,inf,140.5659981973417
150,9.828895286958279,640.2280537471179,67.72946248351526,41.97430339980869
150B,9.828895286958279,640.2280537471179,84.77117040154444,55.6116157053455
212,5.003982006775658,640.2280537471179,115.02193772819979,44.54375112678643
212A,21.25495636458346,640.2280537471179,138.51040368066168,55.01491729841753
212B,49.512915841176216,640.2280537471179,208.43261419451397,149.60399036167792
240,0.0,178.7981118402996,32.73364489600043,0.00052394427221541
154,13.262055374346845,640.2280537471179,94.0566757075032,51.968475608640915
27,85.46614362403515,1237.4766461417378,322.5228398703295,268.9449976890161
33,2.6195637940389984,408.4380194353868,63.16714127468964,32.22993578597345
33A,13.798005297006272,408.4380194353868,112.79663110199087,69.33916550508692
82A,5.931312718839222,434.2809117584654,107.38667339166406,44.23461949945809
277,3.072318829535933,374.04349260813683,69.5295147239492,45.67548114916457
46,8.60761682840911,529.6895142601841,99.5236619781801,51.57951856933711
146,8.60761682840911,429.1770374287455,76.2544012744508,38.56279760359571
130,4.844630807258923,403.62597742389755,79.15207836259292,48.20977905112986
141,19.103501935883806,230.6905198359622,96.85509309002965,103.88519703790372
250,9.828895286958279,230.6905198359622,52.113726839808756,37.912239682783905
250B,9.828895286958279,230.6905198359622,53.40184763573998,39.081000912792284
251E,18.235213057175507,236.32675988963214,96.90943251243873,108.08064991333583
